No,Year,GDP in (Billion) $,Per Capita in rupees,Growth %
0,2025,3900,210000,6.5
1,2024,3700,200000,6.8
2,2023,3500,190000,7.2
3,2022,3385,185000,7.0
4,2021,3173.4,182160,8.95
5,2020,2667.69,154640,-6.6
6,2019,2831.55,165760,3.74
7,2018,2702.93,159840,6.45
8,2017,2651.47,158480,6.8
9,2016,2294.8,138640,8.26
10,2015,2103.59,128480,8
11,2014,2039.13,125920,7.41
12,2013,1856.72,116000,6.39
13,2012,1827.64,115520,5.46
14,2011,1823.05,116640,5.24
15,2010,1675.62,108640,8.5
16,2009,1341.89,88160,7.86
17,2008,1198.9,79920,3.09
18,2007,1216.74,82240,7.66
19,2006,940.26,64560,8.06
20,2005,820.38,57200,7.92
21,2004,709.15,50240,7.92
22,2003,607.7,43760,7.86
23,2002,514.94,37680,3.8
24,2001,485.44,36160,4.82
25,2000,468.39,35440,3.84
26,1999,458.82,35360,8.85
27,1998,421.35,33040,6.18
28,1997,415.87,33200,4.05
29,1996,392.9,32000,7.55
30,1995,360.28,29920,7.57
31,1994,327.28,27680,6.66
32,1993,279.3,24080,4.75
33,1992,288.21,25360,5.48
34,1991,270.11,24240,1.06
35,1990,320.98,29440,5.53
36,1989,296.04,27680,5.95
37,1988,296.59,28320,9.63
38,1987,279.03,27200,3.97
39,1986,248.99,24800,4.78
40,1985,232.51,23680,5.25
41,1984,212.16,22160,3.82
42,1983,218.26,23280,7.29
43,1982,200.72,21920,3.48
44,1981,193.49,21600,6.01
45,1980,186.33,21360,6.74
46,1979,152.99,17920,-5.24
47,1978,137.3,16480,5.71
48,1977,121.49,14880,7.25
49,1976,102.72,12880,1.66
50,1975,98.47,12640,9.15
51,1974,99.53,13040,1.19
52,1973,85.52,11520,3.3
53,1972,71.46,9840,-0.55
54,1971,67.35,9520,1.64
55,1970,62.42,8960,5.16
56,1969,58.45,8640,6.54
57,1968,53.09,8000,3.39
58,1967,50.13,7680,7.83
59,1966,45.87,7200,-0.06
60,1965,59.55,9520,-2.64
61,1964,56.48,9280,7.45
62,1963,48.42,8080,5.99
63,1962,42.16,7200,2.93
64,1961,39.23,6800,3.72
65,1960,37.03,6560,3.72